moduleId/I, x0_cm/D, y0_cm/D, z0_cm/D, x1_cm/D, y1_cm/D, z1_cm/D, x2_cm/D, y2_cm/D, z2_cm/D, x3_cm/D, y3_cm/D, z3_cm/D, nstrips/I, nwires/I, nwiregroups/I, evenBit/I, frBit/I, ccwBit/I
0, 98.69364929, 25.80229950, 615.67614746, 102.26311493, 48.38722610, 615.72076416, 251.64674377, 119.18511963, 615.88922119, 242.85678101, 63.56867981, 615.77935791, 64, 586, 48, 0, 0, 1
1, 92.68542480, 42.59991074, 586.37097168, 92.28926849, 65.46170044, 586.42968750, 227.15316772, 161.06268311, 586.57855225, 228.12869263, 104.76444244, 586.43395996, 64, 586, 48, 1, 1, 1
2, 83.83070374, 58.01564789, 615.73999023, 79.47332764, 80.46191406, 615.72943115, 195.70132446, 198.01564026, 615.82946777, 206.43157959, 142.74064636, 615.85540771, 64, 586, 48, 0, 0, 1
3, 274.18341064, 72.30086517, 711.38690186, 256.38531494, 121.20549011, 711.21325684, 412.52371216, 195.00564575, 711.11315918, 441.16400146, 116.30956268, 711.39257812, 80, 554, 64, 0, 0, 1
4, 257.45440674, 118.80860901, 683.82696533, 231.42846680, 163.87643433, 683.91448975, 372.36633301, 263.68722534, 683.91186523, 414.24661255, 191.16523743, 683.77099609, 80, 554, 64, 1, 1, 1
5, 232.87954712, 161.69184875, 711.29901123, 199.42428589, 201.55674744, 711.29144287, 320.89288330, 324.32098389, 711.23529053, 374.72827148, 260.17138672, 711.24749756, 80, 554, 64, 0, 0, 1
6, 495.08432007, 143.41812134, 694.17907715, 471.26449585, 209.07020569, 694.04919434, 617.39575195, 273.69714355, 694.02990723, 648.59997559, 187.69224548, 694.20007324, 64, 521, 32, 0, 0, 1
7, 462.70776367, 227.21524048, 694.16448975, 427.81451416, 287.71347046, 694.01818848, 560.45184326, 376.81066895, 694.01995850, 606.16235352, 297.55737305, 694.21160889, 64, 521, 32, 1, 0, 1
8, 416.20117188, 304.04162598, 694.05871582, 371.31610107, 357.54785156, 693.94024658, 486.43234253, 468.35931396, 694.15441895, 545.23229980, 398.26565552, 694.30963135, 64, 521, 32, 0, 0, 1
9, 98.69188690, 26.04345322, 615.71240234, 102.18048859, 48.12942505, 615.67376709, 251.49429321, 118.53814697, 615.51580811, 242.90344238, 64.15043640, 615.61083984, 48, 586, 48, 0, 0, 1
10, 92.65953827, 42.78913116, 586.34387207, 92.27236176, 65.14559937, 586.35314941, 227.14418030, 160.33807373, 586.28039551, 228.09765625, 105.28424072, 586.25756836, 48, 586, 48, 1, 1, 1
11, 83.82374573, 58.22846985, 615.74017334, 79.56044769, 80.17810059, 615.72680664, 195.85414124, 197.34362793, 615.53796387, 206.35272217, 143.29168701, 615.57092285, 48, 586, 48, 0, 0, 1
12, 72.49240112, 71.75224304, 586.40679932, 64.30679321, 93.10200500, 586.47985840, 158.37683105, 229.03825378, 586.55487061, 178.53427124, 176.46345520, 586.37493896, 64, 586, 48, 1, 1, 1
13, 58.99296188, 83.20372772, 615.99688721, 47.21369934, 102.80125427, 615.90985107, 116.16813660, 253.04446411, 615.58642578, 145.17510986, 204.78460693, 615.80078125, 64, 586, 48, 0, 0, 1
14, 43.58889771, 92.07535553, 586.50689697, 28.58852768, 109.33254242, 586.50000000, 70.43453979, 269.25982666, 586.37487793, 107.37364197, 226.76315308, 586.39184570, 64, 586, 48, 1, 1, 1
